127.0.0.1 - - [07/May/2021:14:26:33 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [07/May/2021:14:26:34 +0900] "GET /WEEK10/request.jsp HTTP/1.1" 500 2474
0:0:0:0:0:0:0:1 - - [07/May/2021:14:27:12 +0900] "GET /WEEK10/request.html HTTP/1.1" 200 722
0:0:0:0:0:0:0:1 - - [07/May/2021:14:27:23 +0900] "POST /WEEK10/request.jsp HTTP/1.1" 200 267
0:0:0:0:0:0:0:1 - - [07/May/2021:14:31:01 +0900] "GET /WEEK10/request.html HTTP/1.1" 200 731
0:0:0:0:0:0:0:1 - - [07/May/2021:14:31:23 +0900] "GET /WEEK10/request.html HTTP/1.1" 200 738
0:0:0:0:0:0:0:1 - - [07/May/2021:14:31:32 +0900] "POST /WEEK10/request.jsp HTTP/1.1" 200 314
0:0:0:0:0:0:0:1 - - [07/May/2021:14:32:05 +0900] "GET /WEEK10/request.html HTTP/1.1" 200 737
0:0:0:0:0:0:0:1 - - [07/May/2021:14:32:15 +0900] "POST /WEEK10/request.jsp HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [07/May/2021:14:53:32 +0900] "GET /WEEK10/request2.html HTTP/1.1" 200 631
0:0:0:0:0:0:0:1 - - [07/May/2021:14:53:52 +0900] "POST /WEEK10/request2.jps HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [07/May/2021:14:54:58 +0900] "GET /WEEK10/request2.html HTTP/1.1" 200 620
0:0:0:0:0:0:0:1 - - [07/May/2021:14:55:55 +0900] "GET /WEEK10/request2.html HTTP/1.1" 200 631
0:0:0:0:0:0:0:1 - - [07/May/2021:14:56:01 +0900] "POST /WEEK10/request2.jps HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [07/May/2021:14:56:20 +0900] "GET /WEEK10/request2.html HTTP/1.1" 200 631
0:0:0:0:0:0:0:1 - - [07/May/2021:14:56:32 +0900] "POST /WEEK10/request2.jsp HTTP/1.1" 200 618
0:0:0:0:0:0:0:1 - - [07/May/2021:15:04:31 +0900] "GET /WEEK10/request3.html HTTP/1.1" 200 899
0:0:0:0:0:0:0:1 - - [07/May/2021:15:04:38 +0900] "POST /WEEK10/request3.jsp HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [07/May/2021:15:04:55 +0900] "GET /WEEK10/request3.html HTTP/1.1" 200 902
0:0:0:0:0:0:0:1 - - [07/May/2021:15:05:00 +0900] "POST /WEEK10/request3.jsp HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [07/May/2021:15:05:17 +0900] "GET /WEEK10/request3.html HTTP/1.1" 200 902
0:0:0:0:0:0:0:1 - - [07/May/2021:15:05:19 +0900] "POST /WEEK10/request3.jsp HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [07/May/2021:15:05:43 +0900] "GET /WEEK10/request3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2021:15:05:45 +0900] "POST /WEEK10/request3.jsp HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [07/May/2021:15:06:44 +0900] "GET /WEEK10/request3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2021:15:06:46 +0900] "POST /WEEK10/request3.jsp HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [07/May/2021:15:08:20 +0900] "GET /WEEK10/request3.html HTTP/1.1" 200 869
0:0:0:0:0:0:0:1 - - [07/May/2021:15:08:23 +0900] "POST /WEEK10/request3.jsp HTTP/1.1" 200 258
0:0:0:0:0:0:0:1 - - [07/May/2021:15:08:31 +0900] "POST /WEEK10/request3.jsp HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [07/May/2021:15:18:28 +0900] "GET /WEEK10/sendredirect.html HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [07/May/2021:15:18:34 +0900] "GET /WEEK10/sendredirect.jsp?word=%C0%CE%C7%CF%B4%EB HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/May/2021:15:18:46 +0900] "GET /WEEK10/sendredirect.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2021:15:18:53 +0900] "GET /WEEK10/sendredirect.jsp?word=jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/May/2021:15:37:57 +0900] "GET /WEEK10/signup.html HTTP/1.1" 200 1039
0:0:0:0:0:0:0:1 - - [07/May/2021:15:38:08 +0900] "POST /WEEK10/signup.jsp HTTP/1.1" 200 304
0:0:0:0:0:0:0:1 - - [07/May/2021:15:38:13 +0900] "POST /WEEK10/signup.jsp HTTP/1.1" 200 331
